model,reference_date,horizon,n_prior_errors,calibration_probability,interval_multiplier,calibration_source
Calibrated ARIMAX,2025-09-27,1,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-09-27,2,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-09-27,3,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-04,1,1,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-04,2,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-04,3,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-11,1,2,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-11,2,1,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-11,3,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-18,1,3,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-18,2,2,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-18,3,1,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-25,1,4,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-25,2,3,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-25,3,2,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-01,1,5,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-01,2,4,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-01,3,3,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-08,1,6,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-08,2,5,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-08,3,4,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-15,1,7,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-15,2,6,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-15,3,5,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-22,1,8,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-22,2,7,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-22,3,6,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-29,1,9,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-29,2,8,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-29,3,7,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-06,1,10,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-06,2,9,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-06,3,8,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-13,1,11,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-13,2,10,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-13,3,9,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-20,1,12,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-20,2,11,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-20,3,10,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-27,1,13,0.9,1.3072712431234523,prior horizon-specific errors
Calibrated ARIMAX,2025-12-27,2,12,0.9,1.2377241218122264,prior horizon-specific errors
Calibrated ARIMAX,2025-12-27,3,11,0.9,1.075366435490951,prior horizon-specific errors
Calibrated ARIMAX,2026-01-03,1,14,0.9,1.2561989936211209,prior horizon-specific errors
Calibrated ARIMAX,2026-01-03,2,13,0.9,1.348392722350777,prior horizon-specific errors
Calibrated ARIMAX,2026-01-03,3,12,0.9,1.5728664554109641,prior horizon-specific errors
Calibrated ARIMAX,2026-01-10,1,15,0.9,1.5565388032324121,prior horizon-specific errors
Calibrated ARIMAX,2026-01-10,2,14,0.9,1.6132996114165117,prior horizon-specific errors
Calibrated ARIMAX,2026-01-10,3,13,0.9,1.5619515618084057,prior horizon-specific errors
Calibrated ARIMAX,2026-01-17,1,16,0.9,1.5460140990124227,prior horizon-specific errors
Calibrated ARIMAX,2026-01-17,2,15,0.9,1.576563743475502,prior horizon-specific errors
Calibrated ARIMAX,2026-01-17,3,14,0.9,1.551036668205847,prior horizon-specific errors
Calibrated ARIMAX,2026-01-24,1,17,0.9,1.5154741674175334,prior horizon-specific errors
Calibrated ARIMAX,2026-01-24,2,16,0.9,1.5398278755344936,prior horizon-specific errors
Calibrated ARIMAX,2026-01-24,3,15,0.9,1.5401217746032887,prior horizon-specific errors
Calibrated ARIMAX,2026-01-31,1,18,0.9,1.474926622135192,prior horizon-specific errors
Calibrated ARIMAX,2026-01-31,2,17,0.9,1.5225845598208365,prior horizon-specific errors
Calibrated ARIMAX,2026-01-31,3,16,0.9,1.5292068810007307,prior horizon-specific errors
Calibrated ARIMAX,2026-02-07,1,19,0.9,1.4343790768528504,prior horizon-specific errors
Calibrated ARIMAX,2026-02-07,2,18,0.9,1.5150875202208574,prior horizon-specific errors
Calibrated ARIMAX,2026-02-07,3,17,0.9,1.5212367149466508,prior horizon-specific errors
Calibrated ARIMAX,2026-02-14,1,20,0.9,1.3938315315705103,prior horizon-specific errors
Calibrated ARIMAX,2026-02-14,2,19,0.9,1.5075904806208782,prior horizon-specific errors
Calibrated ARIMAX,2026-02-14,3,18,0.9,1.5147389126668103,prior horizon-specific errors
Calibrated ARIMAX,2026-02-21,1,21,0.9,1.3532839862881687,prior horizon-specific errors
Calibrated ARIMAX,2026-02-21,2,20,0.9,1.5000934410208993,prior horizon-specific errors
Calibrated ARIMAX,2026-02-21,3,19,0.9,1.5082411103869697,prior horizon-specific errors
Calibrated ARIMAX,2026-02-28,1,22,0.9,1.312736441005827,prior horizon-specific errors
Calibrated ARIMAX,2026-02-28,2,21,0.9,1.4925964014209199,prior horizon-specific errors
Calibrated ARIMAX,2026-02-28,3,20,0.9,1.5017433081071294,prior horizon-specific errors
Calibrated ARIMAX,2026-03-07,1,23,0.9,1.272188895723487,prior horizon-specific errors
Calibrated ARIMAX,2026-03-07,2,22,0.9,1.4850993618209407,prior horizon-specific errors
Calibrated ARIMAX,2026-03-07,3,21,0.9,1.4952455058272887,prior horizon-specific errors
Calibrated ARIMAX,2026-03-14,1,24,0.9,1.2316413504411454,prior horizon-specific errors
Calibrated ARIMAX,2026-03-14,2,23,0.9,1.477602322220962,prior horizon-specific errors
Calibrated ARIMAX,2026-03-14,3,22,0.9,1.488747703547448,prior horizon-specific errors
Calibrated ARIMAX,2026-03-21,1,25,0.9,1.1910938051588054,prior horizon-specific errors
Calibrated ARIMAX,2026-03-21,2,24,0.9,1.4701052826209826,prior horizon-specific errors
Calibrated ARIMAX,2026-03-21,3,23,0.9,1.4822499012676078,prior horizon-specific errors
Calibrated ARIMAX,2026-03-28,1,26,0.9,1.1505462598764638,prior horizon-specific errors
Calibrated ARIMAX,2026-03-28,2,25,0.9,1.4626082430210037,prior horizon-specific errors
Calibrated ARIMAX,2026-03-28,3,24,0.9,1.4757520989877673,prior horizon-specific errors
Calibrated ARIMAX,2026-04-04,1,27,0.9,1.1262354140414124,prior horizon-specific errors
Calibrated ARIMAX,2026-04-04,2,26,0.9,1.4551112034210245,prior horizon-specific errors
Calibrated ARIMAX,2026-04-04,3,25,0.9,1.4692542967079267,prior horizon-specific errors
Calibrated ARIMAX,2026-04-11,1,28,0.9,1.1100429179300073,prior horizon-specific errors
Calibrated ARIMAX,2026-04-11,2,27,0.9,1.427445940920343,prior horizon-specific errors
Calibrated ARIMAX,2026-04-11,3,26,0.9,1.4627564944280862,prior horizon-specific errors
Calibrated ARIMAX,2026-04-18,1,29,0.9,1.0938504218186014,prior horizon-specific errors
Calibrated ARIMAX,2026-04-18,2,28,0.9,1.389696566969311,prior horizon-specific errors
Calibrated ARIMAX,2026-04-18,3,27,0.9,1.43780088480333,prior horizon-specific errors
Calibrated ARIMAX,2026-04-25,1,30,0.9,1.077657925707196,prior horizon-specific errors
Calibrated ARIMAX,2026-04-25,2,29,0.9,1.3519471930182778,prior horizon-specific errors
Calibrated ARIMAX,2026-04-25,3,28,0.9,1.403616371506116,prior horizon-specific errors
Calibrated ARIMAX,2026-05-02,1,31,0.9,1.0614654295957902,prior horizon-specific errors
Calibrated ARIMAX,2026-05-02,2,30,0.9,1.3141978190672459,prior horizon-specific errors
Calibrated ARIMAX,2026-05-02,3,29,0.9,1.3694318582089011,prior horizon-specific errors
Calibrated ARIMAX,2026-05-09,1,32,0.9,1.0452729334843838,prior horizon-specific errors
Calibrated ARIMAX,2026-05-09,2,31,0.9,1.2764484451162126,prior horizon-specific errors
Calibrated ARIMAX,2026-05-09,3,30,0.9,1.3352473449116875,prior horizon-specific errors
Calibrated ARIMAX,2026-05-16,1,33,0.9,1.0290804373729778,prior horizon-specific errors
Calibrated ARIMAX,2026-05-16,2,32,0.9,1.2386990711651782,prior horizon-specific errors
Calibrated ARIMAX,2026-05-16,3,31,0.9,1.3010628316144728,prior horizon-specific errors
