covariate_set,lag_weeks,horizon,n_forecasts,mae,rmse
WVAL only,6,1,34,1643.8324524054105,3185.422613902454
WVAL + NSSP,6,1,34,1658.174000831328,3181.7279279539666
NSSP only,6,1,34,1675.46615553811,3118.6627415337357
WVAL only,5,1,34,1742.4978959329685,3258.959066769249
WVAL only,4,1,34,1745.985305288259,3194.9028562170724
WVAL + NSSP,3,1,34,1766.5120983348986,3190.7038146519626
WVAL only,3,1,34,1830.003665513947,3296.7740215345734
WVAL + NSSP,4,1,34,1832.0368797320884,3383.0882838883526
NSSP only,5,1,34,1884.3970863325937,3476.777942758163
NSSP only,3,1,34,1938.228927035587,3473.249890664883
NSSP only,4,1,34,1947.0963116017472,3294.75040225849
WVAL + NSSP,5,1,34,1984.103527297681,3442.7499098239095
WVAL + NSSP,6,2,34,3756.0487814303688,7336.778942378299
WVAL only,6,2,34,3815.393481731515,7359.264669281087
WVAL only,5,2,34,3957.9576935109867,7466.970125013938
NSSP only,6,2,34,3977.784817972406,7164.238562445388
WVAL only,4,2,34,3989.706717489639,7539.323353504007
WVAL only,3,2,34,4016.9997705624974,7423.900002970358
NSSP only,5,2,34,4166.683085996263,7386.213455209452
WVAL + NSSP,3,2,34,4242.516489727558,7821.043285315248
WVAL + NSSP,4,2,34,4246.148612738479,7871.64635983413
NSSP only,4,2,34,4256.838856885572,7428.726117905207
WVAL + NSSP,5,2,34,4354.669096415836,7753.91946986333
NSSP only,3,2,34,4469.5849017485225,8041.773181541999
WVAL + NSSP,6,3,34,5129.553096263038,10172.684243559803
WVAL only,6,3,34,5310.423152198105,10205.4047934557
NSSP only,5,3,34,5384.000389453943,9974.140825715453
WVAL only,3,3,34,5407.107154016716,10305.741298947338
WVAL only,5,3,34,5451.748708340148,10498.0097768129
WVAL only,4,3,34,5475.7577939716775,10575.916980267813
NSSP only,6,3,34,5583.518890042582,9855.964986965144
WVAL + NSSP,4,3,34,5838.384986856676,11248.339803682245
NSSP only,4,3,34,5940.27737806809,10365.853887308962
WVAL + NSSP,5,3,34,5996.118805926257,10836.245744179118
WVAL + NSSP,3,3,34,6000.668446574387,11146.16388024495
NSSP only,3,3,34,6445.047001711452,11331.448657499053
