model,horizon,n_forecasts,mae,rmse,mean_wis,coverage_95,mean_width_95
ARIMAX: surveillance + seasonal,1,34,2180.264705882353,3220.3661054204963,1535.9299387254903,0.9117647058823529,10512.79411764706
Activity 5 ensemble,1,34,1859.1764705882354,3446.426375929984,1494.1756740196079,0.8823529411764706,6243.5
"Blend: 50% ARIMAX, 25% ensemble, 25% ARIMA",1,34,1893.3529411764705,3235.498188751118,1464.5122181372549,0.8823529411764706,8381.5
Calibrated ARIMAX,1,34,2180.264705882353,3220.3661054204963,1551.6694975490195,0.9117647058823529,12394.264705882353
Calibrated blend,1,34,1893.3529411764705,3235.498188751118,1523.8321200980392,0.9117647058823529,12352.088235294117
Original ARIMA,1,34,1954.1764705882354,3404.72344907863,1547.4478921568627,0.8823529411764706,6257.294117647059
ARIMAX: surveillance + seasonal,2,34,5075.705882352941,7165.133281466331,3449.9841421568626,0.8823529411764706,19745.823529411766
Activity 5 ensemble,2,34,4364.676470588235,7732.303216339344,3484.6099019607846,0.8529411764705882,12060.764705882353
"Blend: 50% ARIMAX, 25% ensemble, 25% ARIMA",2,34,4437.558823529412,7292.353539637174,3328.5757107843137,0.8529411764705882,15912.35294117647
Calibrated ARIMAX,2,34,5075.705882352941,7165.133281466331,3493.4150367647057,0.8823529411764706,24458.852941176472
Calibrated blend,2,34,4437.558823529412,7292.353539637174,3449.395379901961,0.8529411764705882,24002.147058823528
Original ARIMA,2,34,4407.705882352941,7925.581225670827,3531.9532720588236,0.8529411764705882,12096.558823529413
ARIMAX: surveillance + seasonal,3,34,7017.588235294118,9574.58222095786,4700.438259803921,0.8823529411764706,25894.29411764706
Activity 5 ensemble,3,34,6071.823529411765,10939.74238055637,4837.2592769607845,0.8529411764705882,16627.264705882353
"Blend: 50% ARIMAX, 25% ensemble, 25% ARIMA",3,34,6043.35294117647,9979.294914972701,4551.687414215687,0.8823529411764706,21274.617647058825
Calibrated ARIMAX,3,34,7017.588235294118,9574.58222095786,4738.177034313725,0.9117647058823529,31556
Calibrated blend,3,34,6043.35294117647,9979.294914972701,4731.539093137255,0.9117647058823529,32264.176470588234
Original ARIMA,3,34,6102.235294117647,11355.898811786295,4914.413370098039,0.8529411764705882,16682.617647058825
